category	filename	duration_sec
notification	notification_001.wav	0.24
notification	notification_002.mp3	0.278
notification	notification_003.wav	0.277
notification	notification_004.mp3	0.284
notification	notification_005.wav	0.331
notification	notification_006.mp3	0.2
notification	notification_007.wav	0.224
hype	hype_001.wav	0.61
hype	hype_002.mp3	0.726
hype	hype_003.wav	0.574
hype	hype_004.mp3	0.574
hype	hype_005.wav	0.62
hype	hype_006.mp3	0.559
hype	hype_007.wav	0.797
gaming	gaming_001.wav	0.19
gaming	gaming_002.mp3	0.189
gaming	gaming_003.wav	0.255
gaming	gaming_004.mp3	0.245
gaming	gaming_005.wav	0.215
gaming	gaming_006.mp3	0.141
gaming	gaming_007.wav	0.146
funny	funny_001.wav	0.415
funny	funny_002.mp3	0.505
funny	funny_003.wav	0.366
funny	funny_004.mp3	0.41
funny	funny_005.wav	0.439
funny	funny_006.mp3	0.362
epic	epic_001.wav	1.455
epic	epic_002.mp3	1.625
epic	epic_003.wav	1.233
epic	epic_004.mp3	1.703
epic	epic_005.wav	1.666
epic	epic_006.mp3	1.453
cute	cute_001.wav	0.376
cute	cute_002.mp3	0.395
cute	cute_003.wav	0.412
cute	cute_004.mp3	0.362
cute	cute_005.wav	0.301
cute	cute_006.mp3	0.372
cute	cute_007.wav	0.398
electronic	electronic_001.wav	0.199
electronic	electronic_002.mp3	0.229
electronic	electronic_003.wav	0.169
electronic	electronic_004.mp3	0.161
electronic	electronic_005.wav	0.167
electronic	electronic_006.mp3	0.131
electronic	electronic_007.wav	0.344
electronic	electronic_008.mp3	0.129
success	success_001.wav	0.29
success	success_002.mp3	0.285
success	success_003.wav	0.372
success	success_004.mp3	0.319
success	success_005.wav	0.323
success	success_006.mp3	0.351
success	success_007.wav	0.308
impact	impact_001.wav	0.133
impact	impact_002.mp3	0.157
impact	impact_003.wav	0.155
impact	impact_004.mp3	0.109
impact	impact_005.wav	0.178
impact	impact_006.mp3	0.135
impact	impact_007.wav	0.144
impact	impact_008.mp3	0.18
celebration	celebration_001.wav	0.626
celebration	celebration_002.mp3	0.709
celebration	celebration_003.wav	0.759
celebration	celebration_004.mp3	0.694
celebration	celebration_005.wav	0.796
celebration	celebration_006.mp3	0.653
whoosh	whoosh_001.wav	0.381
whoosh	whoosh_002.mp3	0.442
whoosh	whoosh_003.wav	0.49
whoosh	whoosh_004.mp3	0.369
whoosh	whoosh_005.wav	0.303
whoosh	whoosh_006.mp3	0.421
whoosh	whoosh_007.wav	0.325
whoosh	whoosh_008.mp3	0.425
alert	alert_001.wav	0.24
alert	alert_002.mp3	0.24
alert	alert_003.wav	0.24
alert	alert_004.mp3	0.24
alert	alert_005.wav	0.24
